source,target,weight,distance,source_name,target_name
100653750,1402912902,1,1.0,J. Leenaars,B. Bauer-Marschallinger
1402912902,32830771,1,1.0,B. Bauer-Marschallinger,E. Ribeiro
1402912902,2924968,1,1.0,B. Bauer-Marschallinger,Ichsani Wheeler
1402912902,2146245,1,1.0,B. Bauer-Marschallinger,S. Mantel
1402912902,4953836,1,1.0,B. Bauer-Marschallinger,B. Kempen
145632581,145669099,1,1.0,R. Vargas,M. Guevara
145028966,145669099,1,1.0,R. MacMillan,M. Guevara
145669099,49399380,1,1.0,M. Guevara,N. Batjes
100653750,145669099,1,1.0,J. Leenaars,M. Guevara
145669099,32830771,1,1.0,M. Guevara,E. Ribeiro
145669099,2924968,1,1.0,M. Guevara,Ichsani Wheeler
145669099,2146245,1,1.0,M. Guevara,S. Mantel
145669099,4953836,1,1.0,M. Guevara,B. Kempen
145028966,145632581,1,1.0,R. MacMillan,R. Vargas
145632581,49399380,1,1.0,R. Vargas,N. Batjes
100653750,145632581,1,1.0,J. Leenaars,R. Vargas
145632581,32830771,1,1.0,R. Vargas,E. Ribeiro
145632581,2924968,1,1.0,R. Vargas,Ichsani Wheeler
145632581,2146245,1,1.0,R. Vargas,S. Mantel
145632581,4953836,1,1.0,R. Vargas,B. Kempen
145028966,49399380,1,1.0,R. MacMillan,N. Batjes
100653750,145028966,1,1.0,J. Leenaars,R. MacMillan
145028966,32830771,1,1.0,R. MacMillan,E. Ribeiro
145028966,2924968,1,1.0,R. MacMillan,Ichsani Wheeler
145028966,2146245,1,1.0,R. MacMillan,S. Mantel
145028966,4953836,1,1.0,R. MacMillan,B. Kempen
100653750,49399380,1,1.0,J. Leenaars,N. Batjes
32830771,49399380,1,1.0,E. Ribeiro,N. Batjes
2924968,49399380,1,1.0,Ichsani Wheeler,N. Batjes
2146245,49399380,1,1.0,S. Mantel,N. Batjes
49399380,4953836,1,1.0,N. Batjes,B. Kempen
100653750,32830771,1,1.0,J. Leenaars,E. Ribeiro
100653750,2924968,1,1.0,J. Leenaars,Ichsani Wheeler
100653750,2146245,1,1.0,J. Leenaars,S. Mantel
100653750,4953836,1,1.0,J. Leenaars,B. Kempen
2924968,32830771,1,1.0,Ichsani Wheeler,E. Ribeiro
2146245,32830771,1,1.0,S. Mantel,E. Ribeiro
32830771,4953836,1,1.0,E. Ribeiro,B. Kempen
2146245,2924968,1,1.0,S. Mantel,Ichsani Wheeler
2924968,4953836,1,1.0,Ichsani Wheeler,B. Kempen
2146245,4953836,1,1.0,S. Mantel,B. Kempen
1694621,2066277988,1,1.0,Michael I. Jordan,T. Mitchell
3407277,39793298,1,1.0,Adam Paszke,Sam Gross
1403239967,3407277,1,1.0,Francisco Massa,Adam Paszke
1977806,3407277,1,1.0,Adam Lerer,Adam Paszke
2065251344,3407277,1,1.0,James Bradbury,Adam Paszke
114250963,3407277,1,1.0,Gregory Chanan,Adam Paszke
2059271276,3407277,1,1.0,Trevor Killeen,Adam Paszke
3370429,3407277,1,1.0,Zeming Lin,Adam Paszke
3365851,3407277,1,1.0,N. Gimelshein,Adam Paszke
